1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1
0,0,1,3,0,1,0,1,1,1,1,1,0,0,0,1
1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1
1,0,0,0,0,1,0,0,2,1,0,0,1,0,0,1
1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1
0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0


// 0- free space
// 1- wall
// 2- robot's position
// 3- goal
